IATA,Latitude,Longitude,
AAE,36.822201,7.809174,
AAL,57.09275891,9.849243164,
AAN,24.26169968,55.60919952,
AAQ,45.0021019,37.34730148,
AAR,56.29999924,10.61900043,
AAT,47.74988556,88.0858078,
AAX,-19.5632,-46.96039963,
AAY,16.19169998,52.17499924,
ABA,53.74000168,91.38500214,
ABB,6.204167,6.665278,
ABD,30.37109947,48.22829819,
ABE,40.65209961,-75.44080353,
ABI,32.41130066,-99.68190002,
ABJ,5.261390209,-3.926290035,
ABL,67.1063,-157.856989,
ABM,-10.9508,142.459,
ABQ,35.040199,-106.609001,
ABR,45.44910049,-98.42179871,
ABS,22.37599945,31.61170006,
ABT,20.29610062,41.63430023,
ABV,9.006790161,7.263169765,
ABX,-36.06779861,146.9579926,
ABY,31.53549957,-84.19450378,
ABZ,57.20190048,-2.197779894,
ACA,16.75709915,-99.7539978,
ACC,5.6051898,-0.166786,
ACE,28.945499,-13.6052,
ACH,47.48500061,9.560770035,
ACI,49.706104,-2.21472,
ACK,41.25310135,-70.06020355,
ACR,-0.5833,-72.4083,
ACT,31.61129951,-97.23049927,
ACV,40.978101,-124.109,
ACX,25.08638889,104.9594444,
ACY,39.45759964,-74.57720184,
ACZ,31.09830093,61.54389954,
ADA,36.98220062,35.28039932,
ADB,38.29240036,27.15699959,
ADD,8.977890015,38.79930115,
ADE,12.8295002,45.02880096,
ADF,37.73139954,38.46889877,
ADK,51.87799835,-176.6459961,
ADL,-34.945,138.531006,
ADQ,57.75,-152.4940033,
ADU,38.32569885,48.42440033,
ADZ,12.5836,-81.7112,
AEB,23.72060013,106.9599991,
AEP,-34.5592,-58.4156,
AER,43.449902,39.9566,
AES,62.5625,6.119699955,
AET,66.55180359,-152.621994,
AEX,31.32740021,-92.54979706,
AEY,65.66000366,-18.0727005,
AFA,-34.588299,-68.4039,
AFL,-9.866389275,-56.10499954,
AFZ,36.16809845,57.59519958,
AGA,30.32500076,-9.413069725,
AGB,48.425278,10.931667,
AGF,44.17470169,0.590556026,
AGH,56.29610062,12.84710026,
AGN,57.503601,-134.585007,
AGP,36.67490005,-4.499110222,
AGR,27.15579987,77.96089935,
AGS,33.36989975,-81.96450043,
AGT,-25.454516,-54.842682,
AGU,21.705601,-102.318001,
AGX,10.82369995,72.1760025,
AHB,18.24040031,42.65660095,
AHE,-14.42809963,-146.2570038,
AHN,33.94860077,-83.32630157,
AHO,40.632099,8.29077,
AHU,35.17710114,-3.839519978,
AIA,42.05319977,-102.8040009,
AIN,70.63800049,-159.9949951,
AIT,-18.83090019,-159.7640076,
AIU,-19.96780014,-158.1190033,
AJA,41.92359924,8.802920341,
AJF,29.78510094,40.09999847,
AJI,39.65454102,43.02597809,
AJL,23.84059906,92.61969757,
AJR,65.59030151,19.28190041,
AJU,-10.98400021,-37.07030106,
AKB,52.22029877,-174.2059937,
AKF,24.17869949,23.31399918,
AKI,60.9029007,-161.2310028,
AKJ,43.67079926,142.4470062,
AKK,56.93870163,-154.1829987,
AKL,-37.0080986,174.7920074,
AKN,58.67679977,-156.6490021,
AKP,68.13359833,-151.7429962,
AKU,41.262501,80.291702,
AKV,60.8185997,-78.14859772,
AKX,50.2458,57.206699,
AKY,20.13269997,92.87259674,
ALA,43.35210037,77.04049683,
ALB,42.74829865,-73.80169678,
ALC,38.28219986,-0.558156014,
ALF,69.97609711,23.37170029,
ALG,36.69100189,3.215409994,
ALH,-34.94329834,117.8089981,
ALO,42.55709839,-92.40029907,
ALS,37.434898,-105.866997,
ALW,46.09489822,-118.288002,
AMA,35.219398,-101.706001,
AMD,23.07719994,72.63469696,
AMH,6.039390087,37.59049988,
AMM,31.72260094,35.99319839,
AMQ,-3.710259914,128.0890045,
AMS,52.308601,4.76389,
ANC,61.17440033,-149.9960022,
ANF,-23.444501,-70.445099,
ANG,45.72919846,0.221456006,
ANI,61.58160019,-159.5429993,
ANM,-14.99940014,50.32020187,
ANR,51.18939972,4.460279942,
ANS,-13.70639992,-73.35040283,
ANU,17.1367,-61.792702,
ANV,62.646702,-160.190994,
ANX,69.29250336,16.14419937,
AOE,39.809898,30.5194,
AOG,41.105301,122.853996,
AOI,43.616299,13.3623,
AOJ,40.73469925,140.6909943,
AOK,35.42139816,27.14599991,
AOO,40.29639816,-78.31999969,
AOR,6.189670086,100.3980026,
APF,26.15259933,-81.77529907,
APL,-15.10560036,39.28179932,
APN,45.0780983,-83.56030273,
APO,7.81196,-76.7164,
APW,-13.82999992,-172.0079956,
